latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.800003,92.350006,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2016-12-09,89.99
2016-12-10,88.54
2016-12-11,87.10
2016-12-12,85.70
2016-12-13,84.31
2016-12-14,82.95
2016-12-15,81.79
2016-12-16,80.47
2016-12-17,79.35
2016-12-18,78.07
2016-12-19,76.98
2016-12-20,75.91
2016-12-21,74.86
2016-12-22,73.82
2016-12-23,72.62
2016-12-24,71.78
2016-12-25,70.78
2016-12-26,69.79
2016-12-27,68.82
2016-12-28,68.02
2016-12-29,67.08
2016-12-30,66.14
2016-12-31,65.37
2017-01-01,64.46
2017-01-02,63.71
2017-01-03,62.97
2017-01-04,62.10
2017-01-05,61.37
2017-01-06,60.80
2017-01-07,60.09
2017-01-08,59.53
2017-01-09,58.98
2017-01-10,58.29
2017-01-11,57.61
2017-01-12,57.08
2017-01-13,56.68
2017-01-14,56.28
2017-01-15,55.75
2017-01-16,55.36
2017-01-17,55.10
2017-01-18,54.72
2017-01-19,54.34
2017-01-20,54.08
2017-01-21,53.70
2017-01-22,53.45
2017-01-23,53.20
2017-01-24,52.95
2017-01-25,52.58
2017-01-26,52.33
2017-01-27,52.09
2017-01-28,51.84
2017-01-29,51.60
2017-01-30,51.48
2017-01-31,51.36
2017-02-01,51.24
2017-02-02,51.12
2017-02-03,50.88
2017-02-04,50.64
2017-02-05,50.52
2017-02-06,50.29
2017-02-07,49.70
2017-02-08,49.23
2017-02-09,49.12
2017-02-10,48.89
2017-02-11,48.77
2017-02-12,48.55
2017-02-13,48.43
2017-02-14,48.20
2017-02-15,48.09
2017-02-16,47.87
2017-02-17,47.87
2017-02-18,47.64
2017-02-19,47.53
2017-02-20,47.98
2017-02-21,48.66
2017-02-22,48.77
2017-02-23,49.35
2017-02-24,48.77
2017-02-25,47.75
2017-02-26,46.97
2017-02-27,46.75
2017-02-28,46.53
2017-03-01,46.21
2017-03-02,45.88
2017-03-03,45.67
2017-03-04,45.67
