latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2016-02-07,2.13
2016-02-08,2.09
2016-02-09,2.08
2016-02-10,2.06
2016-02-11,2.05
2016-02-12,2.06
2016-02-13,2.06
2016-02-14,2.05
2016-02-15,2.05
2016-02-16,2.03
2016-02-17,2.01
2016-02-18,2.01
2016-02-19,2.00
2016-02-20,1.99
2016-02-21,2.00
2016-02-22,1.97
2016-02-23,1.94
2016-02-24,2.00
2016-02-25,2.08
2016-02-26,2.06
2016-02-27,2.03
2016-02-28,2.00
2016-02-29,1.99
2016-03-01,1.95
2016-03-02,1.94
2016-03-03,1.90
2016-03-04,1.89
2016-03-05,1.88
2016-03-06,1.88
2016-03-07,1.86
2016-03-08,1.84
2016-03-09,1.81
2016-03-10,1.78
2016-03-11,1.77
2016-03-12,1.75
2016-03-13,1.77
2016-03-14,1.78
2016-03-15,1.78
2016-03-16,1.78
2016-03-17,1.78
2016-03-18,1.78
2016-03-19,1.81
2016-03-20,1.84
2016-03-21,1.94
2016-03-22,2.00
2016-03-23,2.03
2016-03-24,2.03
2016-03-25,2.00
2016-03-26,1.97
2016-03-27,1.94
2016-03-28,2.09
2016-03-29,2.34
2016-03-30,2.53
2016-03-31,2.62
2016-04-01,2.62
2016-04-02,2.60
2016-04-03,2.60
2016-04-04,2.75
2016-04-05,3.03
2016-04-06,3.25
2016-04-07,3.35
2016-04-08,3.32
2016-04-09,3.29
2016-04-10,3.25
2016-04-11,3.22
2016-04-12,3.19
2016-04-13,3.19
2016-04-14,3.32
2016-04-15,3.59
2016-04-16,3.97
2016-04-17,4.43
2016-04-18,5.03
2016-04-19,5.59
2016-04-20,5.87
2016-04-21,6.03
2016-04-22,6.82
2016-04-23,13.19
2016-04-24,16.70
2016-04-25,15.56
2016-04-26,14.17
2016-04-27,13.29
2016-04-28,12.49
2016-04-29,11.85
2016-04-30,11.42
2016-05-01,11.13
2016-05-02,10.97
2016-05-03,10.78
2016-05-04,10.56
2016-05-05,10.35
2016-05-06,10.09
2016-05-07,9.84
2016-05-08,9.59
2016-05-09,9.35
2016-05-10,9.12
2016-05-11,8.93
2016-05-12,8.75
2016-05-13,8.73
2016-05-14,8.77
2016-05-15,8.77
2016-05-16,8.77
2016-05-17,9.12
2016-05-18,9.62
2016-05-19,9.96
2016-05-20,10.12
2016-05-21,11.16
2016-05-22,11.85
2016-05-23,11.79
2016-05-24,11.50
2016-05-25,11.47
2016-05-26,11.56
2016-05-27,11.45
2016-05-28,11.22
2016-05-29,10.99
2016-05-30,10.78
2016-05-31,10.56
2016-06-01,10.35
2016-06-02,10.12
2016-06-03,9.91
2016-06-04,9.74
2016-06-05,9.67
2016-06-06,9.62
2016-06-07,9.59
2016-06-08,9.57
2016-06-09,9.47
2016-06-10,9.50
2016-06-11,9.62
2016-06-12,10.80
2016-06-13,14.38
2016-06-14,16.10
2016-06-15,15.07
2016-06-16,14.03
2016-06-17,13.49
2016-06-18,13.03
2016-06-19,12.65
2016-06-20,12.30
2016-06-21,12.00
2016-06-22,11.88
2016-06-23,11.85
2016-06-24,11.76
2016-06-25,11.59
2016-06-26,11.47
2016-06-27,11.56
2016-06-28,11.59
2016-06-29,11.42
2016-06-30,11.25
2016-07-01,11.05
2016-07-02,11.02
